album_id,album_nome,album_tipo,data_lancamento,uri,artistas_nome,nr_musicas
1hazFJ5EVb8clifhIUnV9D,"Ferrugem 10 Anos, Vol. 2 - Replay (Ao Vivo)",album,2024-05-16,spotify:album:1hazFJ5EVb8clifhIUnV9D,['5ZfBThYiIIhL7jHMG8gDB2'],13
0Dq8h1ncJUPjvgSbhF2DPt,FALTA DE QUÊ?,single,2024-05-16,spotify:album:0Dq8h1ncJUPjvgSbhF2DPt,"['5kVgcCdPbeUwxBqWxi2Ktl', '3hq7WoPJsrRP0KMSLhUgRz']",1
1mT3H75nuWHAhbQm3XYDL5,Só Lamento,single,2024-05-16,spotify:album:1mT3H75nuWHAhbQm3XYDL5,"['7me0S5Z40qVWj3gzyK8aC3', '0BHm7qbh3ENxvXzkQAG7MP', '7gIeuq2qBfYhO1budb6TSQ']",1
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,album,2024-05-17,spotify:album:7aJuG4TFXa2hmE4z1yxc3n,['6qqNVTkY8uBg9cP3Jd7DAH'],10
4oKi1WuKiJ6JhwIvsQW8Nt,No Particular,single,2024-05-15,spotify:album:4oKi1WuKiJ6JhwIvsQW8Nt,"['5dYdZmGyv2UTIN1XMe1drN', '6P6uQzjvmHHsygCrGiEmBS']",1
3YIwqsUgXa6IuMVB0Zc4Hr,RELATOS,album,2024-05-14,spotify:album:3YIwqsUgXa6IuMVB0Zc4Hr,"['7tojcuXcZ7eBlQjbAc65Ee', '1WQBwwssN6r8DSjUlkyUGW', '5arfYeRczWtKre7ptGoEXp']",8
7m5iW3vhZFy7yCbkJ90JBa,60 M²,single,2024-05-17,spotify:album:7m5iW3vhZFy7yCbkJ90JBa,"['0CdnnCbbKD4oIzBmxi2o7r', '43DRDu6nLSeIedZ7T1A616']",1
7jwuq2esa4o68v8Gul8Vg1,Paredão Love,single,2024-05-16,spotify:album:7jwuq2esa4o68v8Gul8Vg1,['57VQCKnZ9nhS7bvoviXuZK'],3
7rAGzb5tmPjeJRJZULY1GD,Antes Que O Mundo Acabe,album,2024-05-14,spotify:album:7rAGzb5tmPjeJRJZULY1GD,['4iWkwAVzssjb8XgxdoOL6M'],11
2SmV4cLdk6ecCmo4ROBimP,Esperava Mais,single,2024-05-17,spotify:album:2SmV4cLdk6ecCmo4ROBimP,"['3vqgT6FvYBxEFbipoT9nYH', '7hLjkyL9Pz9xtQNahzJZki']",1
4mmpyA7NacZC06umlw77zr,Posso Beijar Sua Boca ?,single,2024-05-18,spotify:album:4mmpyA7NacZC06umlw77zr,"['7KVJCU4z5L4EUHILL8aMxR', '7FNnA9vBm6EKceENgCGRMb']",1
7LWwnuLW7GNZ8qdw4yPKzN,Chase It (Mmm Da Da Da),single,2024-05-17,spotify:album:7LWwnuLW7GNZ8qdw4yPKzN,['64M6ah0SkkRsnPGtGiRAbb'],1
2dGlEut1TyhAyApZ0ADIsd,Neon Pill,album,2024-05-17,spotify:album:2dGlEut1TyhAyApZ0ADIsd,['26T3LtbuGT1Fu9m0eRq5X3'],12
0PGluYePuY9INYN7SQheZ0,ROOM UNDER THE STAIRS,album,2024-05-17,spotify:album:0PGluYePuY9INYN7SQheZ0,['5ZsFI1h6hIdQRw2ti0hz81'],15
3sqiRnisl2yN229XSBaVka,Cortando as BR (F&J 10 Anos) [Ao Vivo],single,2024-05-16,spotify:album:3sqiRnisl2yN229XSBaVka,"['2h73KyGixa4A1xlhcxjpG1', '1oSgjdbgLYULVmEBojPRw8']",1
2JJPrtXxSCtd2LBdHb5lrK,Nunca Deixe De Sonhar (Ao Vivo),album,2024-05-16,spotify:album:2JJPrtXxSCtd2LBdHb5lrK,['6Wlvsn3IPHiZwAv02lB5eC'],17
5aSep1XPJCD03R2DHgSVpt,Mundo Gira,single,2024-05-17,spotify:album:5aSep1XPJCD03R2DHgSVpt,['3OHpci0ruhvaMv9F795LR5'],4
1oNTvHgEpyLp59NzXorQbb,Ninguém,single,2024-05-17,spotify:album:1oNTvHgEpyLp59NzXorQbb,"['2zGf6lwQ9PxXdoeo5XXP2K', '7l8ESevPECrqChwl3Bf7ov']",1
