artista_id,artista_nome,popularidade,uri,seguidores,genero
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,71,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2,5207444,"['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario']"
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,74,spotify:artist:5kVgcCdPbeUwxBqWxi2Ktl,2011273,['agronejo']
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,74,spotify:artist:3hq7WoPJsrRP0KMSLhUgRz,1284277,"['arrocha', 'sertanejo', 'sertanejo universitario']"
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,66,spotify:artist:7me0S5Z40qVWj3gzyK8aC3,7032721,"['funk carioca', 'funk paulista', 'funk rj']"
0BHm7qbh3ENxvXzkQAG7MP,Mari Fernandez,71,spotify:artist:0BHm7qbh3ENxvXzkQAG7MP,2860574,"['agronejo', 'arrocha', 'arrochadeira', 'forro']"
7gIeuq2qBfYhO1budb6TSQ,DG e Batidão Stronda,56,spotify:artist:7gIeuq2qBfYhO1budb6TSQ,51562,"['arrocha', 'arrochadeira']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,88,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,94154123,"['art pop', 'pop']"
5dYdZmGyv2UTIN1XMe1drN,Carol Biazin,56,spotify:artist:5dYdZmGyv2UTIN1XMe1drN,372405,['pop nacional']
6P6uQzjvmHHsygCrGiEmBS,CANETARIA,39,spotify:artist:6P6uQzjvmHHsygCrGiEmBS,1552,[]
7tojcuXcZ7eBlQjbAc65Ee,MC Caverinha,57,spotify:artist:7tojcuXcZ7eBlQjbAc65Ee,549190,['trap brasileiro']
1WQBwwssN6r8DSjUlkyUGW,MC Cabelinho,74,spotify:artist:1WQBwwssN6r8DSjUlkyUGW,7494504,"['funk consciente', 'trap brasileiro', 'trap funk']"
5arfYeRczWtKre7ptGoEXp,Palma,65,spotify:artist:5arfYeRczWtKre7ptGoEXp,22100,['trap brasileiro']
0CdnnCbbKD4oIzBmxi2o7r,Manu,69,spotify:artist:0CdnnCbbKD4oIzBmxi2o7r,544357,"['arrocha', 'brega paraense']"
43DRDu6nLSeIedZ7T1A616,Xand Avião,68,spotify:artist:43DRDu6nLSeIedZ7T1A616,3097234,"['arrocha', 'forro', 'forro de favela', 'funk carioca']"
57VQCKnZ9nhS7bvoviXuZK,Kadu Martins,61,spotify:artist:57VQCKnZ9nhS7bvoviXuZK,314891,[]
4iWkwAVzssjb8XgxdoOL6M,TIAGO IORC,60,spotify:artist:4iWkwAVzssjb8XgxdoOL6M,2687663,"['folk brasileiro', 'mpb', 'nova mpb']"
3vqgT6FvYBxEFbipoT9nYH,Guga Nandes,41,spotify:artist:3vqgT6FvYBxEFbipoT9nYH,55743,['pagode novo']
7hLjkyL9Pz9xtQNahzJZki,Belo,66,spotify:artist:7hLjkyL9Pz9xtQNahzJZki,1548233,['pagode']
7KVJCU4z5L4EUHILL8aMxR,Leo Santana,67,spotify:artist:7KVJCU4z5L4EUHILL8aMxR,2175836,"['arrocha', 'axe', 'forro', 'pagode baiano', 'pop nacional']"
7FNnA9vBm6EKceENgCGRMb,Anitta,79,spotify:artist:7FNnA9vBm6EKceENgCGRMb,12399617,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,77,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,9069567,"['dance pop', 'pop']"
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,72,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,3690979,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']"
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,74,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,22883301,"['pop', 'uk pop']"
2h73KyGixa4A1xlhcxjpG1,Fiduma & Jeca,56,spotify:artist:2h73KyGixa4A1xlhcxjpG1,408674,"['agronejo', 'sertanejo pop', 'sertanejo universitario']"
1oSgjdbgLYULVmEBojPRw8,Fernando & Sorocaba,62,spotify:artist:1oSgjdbgLYULVmEBojPRw8,4564474,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
6Wlvsn3IPHiZwAv02lB5eC,Ícaro e Gilmar,66,spotify:artist:6Wlvsn3IPHiZwAv02lB5eC,488652,"['agronejo', 'sertanejo pop']"
3OHpci0ruhvaMv9F795LR5,3030,52,spotify:artist:3OHpci0ruhvaMv9F795LR5,634640,"['brazilian hip hop', 'brazilian reggae']"
2zGf6lwQ9PxXdoeo5XXP2K,Projota,58,spotify:artist:2zGf6lwQ9PxXdoeo5XXP2K,4435746,"['brazilian hip hop', 'funk carioca', 'pop nacional', 'sertanejo universitario']"
7l8ESevPECrqChwl3Bf7ov,Lou Garcia,45,spotify:artist:7l8ESevPECrqChwl3Bf7ov,90086,['speed up brasileiro']
1Vnwxb3UkZxMF4S3J6hxAS,MC NAHARA,63,spotify:artist:1Vnwxb3UkZxMF4S3J6hxAS,55224,[]
7544SbhjpkivsclUPtG1ej,Guga Divulga,22,spotify:artist:7544SbhjpkivsclUPtG1ej,644,[]
1tsplI0cqtyXUqF2b1Egur,Alekzzada,10,spotify:artist:1tsplI0cqtyXUqF2b1Egur,2,[]
2FOhucFfejpFhHIyyeRcbH,Avance Records,10,spotify:artist:2FOhucFfejpFhHIyyeRcbH,1,[]
0NseDkNLAVBv2OZY5wquS7,Mc India,40,spotify:artist:0NseDkNLAVBv2OZY5wquS7,10844,['deep funk ostentacao']
5hPHLE5ssifxHX5bhK8iXR,FP do Trem Bala,46,spotify:artist:5hPHLE5ssifxHX5bhK8iXR,304433,"['funk carioca', 'funk rj']"
2UMj7NCbuqy1yUZmiSYGjJ,MC Kevin o Chris,71,spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ,2986509,"['funk 150 bpm', 'funk carioca', 'funk rj']"
0j1Tuh5A6zWMI4nAjPjBsW,Los Brasileros,29,spotify:artist:0j1Tuh5A6zWMI4nAjPjBsW,633,[]
6EErJIzXBBSWY7MkH3OaYY,KING Saints,25,spotify:artist:6EErJIzXBBSWY7MkH3OaYY,4359,[]
49rYuhLNSc8WNdIw5CV0kT,Urbanamente,23,spotify:artist:49rYuhLNSc8WNdIw5CV0kT,548,[]
2fYAyTS2erZgqEHKHYqgi2,Edi Rock,45,spotify:artist:2fYAyTS2erZgqEHKHYqgi2,290723,"['brazilian hip hop', 'brazilian reggae']"
7Lmrb6KcIzfkmgbtokjsAL,Mc Don Juan,73,spotify:artist:7Lmrb6KcIzfkmgbtokjsAL,5004101,"['arrocha', 'batidao romantico', 'funk carioca', 'funk mtg', 'funk paulista']"
4mZqYlVhIZJnJtbF39kDjj,Dada Yute,36,spotify:artist:4mZqYlVhIZJnJtbF39kDjj,15760,['brazilian reggae']
6r9jXjPwsd3OP4aCSfYRhW,Zeider,33,spotify:artist:6r9jXjPwsd3OP4aCSfYRhW,396,[]
5cc7XCY3YdVmFDYw9LklMq,André Nine,49,spotify:artist:5cc7XCY3YdVmFDYw9LklMq,7309,['trap brasileiro']
0nzfP49X2nrzmmkwZf180L,Gustah,55,spotify:artist:0nzfP49X2nrzmmkwZf180L,5464,[]
0xXEI1dXDaCOmkIPNYtPWF,Mac Júlia,52,spotify:artist:0xXEI1dXDaCOmkIPNYtPWF,62330,"['rap feminino nacional', 'rap mineiro']"
4cdmVPqOs2GXPoP4qJHJXv,DJ Cayoo,55,spotify:artist:4cdmVPqOs2GXPoP4qJHJXv,70816,"['funk bh', 'funk mtg', 'funk rj']"
6IcnhoOZCRfWT8viBrredL,Dj Nattan,47,spotify:artist:6IcnhoOZCRfWT8viBrredL,43810,"['funk bh', 'funk mtg']"
4wh03gpwWgB5koOyZr8XxB,Elana Dara,45,spotify:artist:4wh03gpwWgB5koOyZr8XxB,81415,"['musica paranaense', 'pop nacional']"
0N8j1fdrTFzTCyzP4bGbSj,Geovanna Jainy,34,spotify:artist:0N8j1fdrTFzTCyzP4bGbSj,81201,['musica triste brasileira']
2AiR0VxXS1sbh2bSnVAKU0,Clara x Sofia,29,spotify:artist:2AiR0VxXS1sbh2bSnVAKU0,7813,['pop nacional']
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,78,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,12666309,"['atl hip hop', 'hip hop', 'rap']"
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,68,spotify:artist:5yPzzu25VzEk8qrGTLIrE1,1462531,"['pluggnb', 'rap', 'southern hip hop', 'trap']"
2NjfBq1NflQcKSeiDooVjY,Tones And I,67,spotify:artist:2NjfBq1NflQcKSeiDooVjY,2930901,['australian pop']
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,65,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,983526,"['bedroom pop', 'bedroom soul']"
0OmdmG9Z8MKODtlhzA3bei,Scarp,28,spotify:artist:0OmdmG9Z8MKODtlhzA3bei,2313,[]
1a3fr7NdeBT4JlGj6YlbDL,Caio Luccas,68,spotify:artist:1a3fr7NdeBT4JlGj6YlbDL,1067017,['trap brasileiro']
5tD6GvZxVpZxHRjSaQuj36,Maru2D,43,spotify:artist:5tD6GvZxVpZxHRjSaQuj36,8677,['trap brasileiro']
09U6hmCerKcIJrixubiBjm,Pineapple StormTv,68,spotify:artist:09U6hmCerKcIJrixubiBjm,9651080,"['rap baiano', 'trap baiano']"
2676LWh4GgqdAaYkRpqTcd,Big Bllakk,52,spotify:artist:2676LWh4GgqdAaYkRpqTcd,62571,['drill brasileiro']
3EEfGYBytM1QLAuP7z2Z4c,Manel Beats,27,spotify:artist:3EEfGYBytM1QLAuP7z2Z4c,227,[]
04svf3dGgcwEVgJ0MlV0M2,Jall,36,spotify:artist:04svf3dGgcwEVgJ0MlV0M2,4453,['r&b brasileiro']
5xYkM2vMrE23taj6tl7qkm,Pk,59,spotify:artist:5xYkM2vMrE23taj6tl7qkm,771878,"['funk carioca', 'trap funk']"
6p8UveMYUHymkyH4rXgpoJ,DJ Caetano,26,spotify:artist:6p8UveMYUHymkyH4rXgpoJ,258,[]
0QTxqtxb1Ynangd0fpm3PM,Mousik,53,spotify:artist:0QTxqtxb1Ynangd0fpm3PM,6918,[]
34BnNmWVguXa3CigvfHJHS,GORDÃO DO PC,60,spotify:artist:34BnNmWVguXa3CigvfHJHS,279417,"['funk bh', 'funk mtg', 'funk viral']"
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,54,spotify:artist:6mKwmTMzDrye9elc8JWiw3,196519,"['funk bh', 'funk mtg']"
3VU1prPpWqYhRlKS6FQNMR,MC Vitin LC,50,spotify:artist:3VU1prPpWqYhRlKS6FQNMR,221804,"['funk bh', 'funk mtg']"
1mvpEXClANunyiHFtAXCxt,MC Rick,62,spotify:artist:1mvpEXClANunyiHFtAXCxt,1447388,"['funk bh', 'funk carioca', 'funk mtg']"
54DpD2uxqh2jQtstvXxCag,Deliverymusic,21,spotify:artist:54DpD2uxqh2jQtstvXxCag,1,[]
6CAOElXrWvhb594GKitCch,Trunks,49,spotify:artist:6CAOElXrWvhb594GKitCch,52684,['trap brasileiro']
