categoria_id,categoria_nome
0JQ5DAt0tbjZptfcdMSKl3,Made For You
0JQ5DAqbMKFz6FAsUtgAab,New Releases
0JQ5DAqbMKFLVaM30PMBm4,Summer
0JQ5DAqbMKFKGQWi5egawY,Brazil
0JQ5DAqbMKFJCTDO6ndZMP,Sertanejo
0JQ5DAqbMKFCkm2Enfbj7Y,Brazilian Funk
0JQ5DAudkNjCgYMM0TZXDw,Charts
0JQ5DAqbMKFIRybaNTYXXy,In the car
0JQ5DAqbMKFEC4WFtoNRpw,Pop
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop
0JQ5DAqbMKFARvdmw6EIef,Samba & Pagode
0JQ5DAtOnAEpjOgUKwXyxj,Discover
0JQ5DAqbMKFHCaWrPJOoNF,MPB
0JQ5DAqbMKFM6qDjp13Rui,AMPLIFIKA
0JQ5DAqbMKFHOzuVTgTizF,Dance/Electronic
0JQ5DAqbMKFy0OenPG51Av,Christian & Gospel
0JQ5DAqbMKFDXXwE9BDJAr,Rock
0JQ5DAqbMKFCWjUTdzaG0e,Indie
0JQ5DAqbMKFOOxftoKZxod,RADAR
0JQ5DAqbMKFGnsSfvg90Wo,GLOW
