playlist_id,data_add,duracao,musica_id,musica_nome,popularidade,uri,album_id,artista_id
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,163578,7LgGCJYKNQmQJRv2KO1vjG,Replay - Ao Vivo,49,spotify:track:7LgGCJYKNQmQJRv2KO1vjG,1hazFJ5EVb8clifhIUnV9D,['5ZfBThYiIIhL7jHMG8gDB2']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,152245,6hNREzgHbVM5AkGwP4SPmU,FALTA DE QUÊ?,65,spotify:track:6hNREzgHbVM5AkGwP4SPmU,0Dq8h1ncJUPjvgSbhF2DPt,"['5kVgcCdPbeUwxBqWxi2Ktl', '3hq7WoPJsrRP0KMSLhUgRz']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,149000,13jNrlwUkdsclO6GnRN8Hb,Só Lamento,52,spotify:track:13jNrlwUkdsclO6GnRN8Hb,1mT3H75nuWHAhbQm3XYDL5,"['7me0S5Z40qVWj3gzyK8aC3', '0BHm7qbh3ENxvXzkQAG7MP', '7gIeuq2qBfYhO1budb6TSQ']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,179586,629DixmZGHc7ILtEntuiWE,LUNCH,86,spotify:track:629DixmZGHc7ILtEntuiWE,7aJuG4TFXa2hmE4z1yxc3n,['6qqNVTkY8uBg9cP3Jd7DAH']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,171600,1ZfWqYG2avyXoJhhr8nn80,No Particular,44,spotify:track:1ZfWqYG2avyXoJhhr8nn80,4oKi1WuKiJ6JhwIvsQW8Nt,"['5dYdZmGyv2UTIN1XMe1drN', '6P6uQzjvmHHsygCrGiEmBS']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,216160,0uhsd8WN4ayaEQr28AsptD,Ponto Final,56,spotify:track:0uhsd8WN4ayaEQr28AsptD,3YIwqsUgXa6IuMVB0Zc4Hr,"['7tojcuXcZ7eBlQjbAc65Ee', '1WQBwwssN6r8DSjUlkyUGW', '5arfYeRczWtKre7ptGoEXp']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,197795,1CR3iWtmriZ6kBT4R51xv6,60 M²,48,spotify:track:1CR3iWtmriZ6kBT4R51xv6,7m5iW3vhZFy7yCbkJ90JBa,"['0CdnnCbbKD4oIzBmxi2o7r', '43DRDu6nLSeIedZ7T1A616']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,153430,4utAAjfVe1vIeaVWKUmKhD,Biscoiteira,44,spotify:track:4utAAjfVe1vIeaVWKUmKhD,7jwuq2esa4o68v8Gul8Vg1,['57VQCKnZ9nhS7bvoviXuZK']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,198961,6F9UyxHuKfvHOmfMkRDCdm,Eu Só Queria...,46,spotify:track:6F9UyxHuKfvHOmfMkRDCdm,7rAGzb5tmPjeJRJZULY1GD,['4iWkwAVzssjb8XgxdoOL6M']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,180715,5OhQ6G6CIs2lSrhTg9pWSM,Esperava Mais,41,spotify:track:5OhQ6G6CIs2lSrhTg9pWSM,2SmV4cLdk6ecCmo4ROBimP,"['3vqgT6FvYBxEFbipoT9nYH', '7hLjkyL9Pz9xtQNahzJZki']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,136615,2hfFx87JTjkpvlxyeOScMK,Posso Beijar Sua Boca ?,52,spotify:track:2hfFx87JTjkpvlxyeOScMK,4mmpyA7NacZC06umlw77zr,"['7KVJCU4z5L4EUHILL8aMxR', '7FNnA9vBm6EKceENgCGRMb']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,154639,08APpCYHGsbJ2N9jhRgLQY,Chase It (Mmm Da Da Da),63,spotify:track:08APpCYHGsbJ2N9jhRgLQY,7LWwnuLW7GNZ8qdw4yPKzN,['64M6ah0SkkRsnPGtGiRAbb']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,195760,6buQeGlk47QiPVoPObaZ7x,Rainbow,60,spotify:track:6buQeGlk47QiPVoPObaZ7x,2dGlEut1TyhAyApZ0ADIsd,['26T3LtbuGT1Fu9m0eRq5X3']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,232380,4266h07udCdZ83jswW10IG,Stardust,65,spotify:track:4266h07udCdZ83jswW10IG,0PGluYePuY9INYN7SQheZ0,['5ZsFI1h6hIdQRw2ti0hz81']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,177141,0bor3AJ8QV6RRbyV64ZsOO,Cortando as BR (F&J 10 Anos) - Ao Vivo,53,spotify:track:0bor3AJ8QV6RRbyV64ZsOO,3sqiRnisl2yN229XSBaVka,"['2h73KyGixa4A1xlhcxjpG1', '1oSgjdbgLYULVmEBojPRw8']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151328,0aGBJDgysbTnnE27oYkx0N,Trauma - Ao Vivo,51,spotify:track:0aGBJDgysbTnnE27oYkx0N,2JJPrtXxSCtd2LBdHb5lrK,['6Wlvsn3IPHiZwAv02lB5eC']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,171913,51fIvSXRy2dObhEOFlEl9O,Ímã,38,spotify:track:51fIvSXRy2dObhEOFlEl9O,5aSep1XPJCD03R2DHgSVpt,['3OHpci0ruhvaMv9F795LR5']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,190993,2G8x4G2FL8AGhiETlLcO9P,Ninguém,38,spotify:track:2G8x4G2FL8AGhiETlLcO9P,1oNTvHgEpyLp59NzXorQbb,"['2zGf6lwQ9PxXdoeo5XXP2K', '7l8ESevPECrqChwl3Bf7ov']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,127384,35kBl6QQ8AbQclnf5Gnfm0,Privacy,30,spotify:track:35kBl6QQ8AbQclnf5Gnfm0,5XxHx2NPykhbxNLHEOsQbU,"['1Vnwxb3UkZxMF4S3J6hxAS', '7544SbhjpkivsclUPtG1ej', '1tsplI0cqtyXUqF2b1Egur', '2FOhucFfejpFhHIyyeRcbH', '0NseDkNLAVBv2OZY5wquS7']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151384,378UJu7ZahkCCYXduY4vZY,Faroeste,38,spotify:track:378UJu7ZahkCCYXduY4vZY,0cNHgGexMhYEx7AltgWYH1,"['5hPHLE5ssifxHX5bhK8iXR', '2UMj7NCbuqy1yUZmiSYGjJ', '0j1Tuh5A6zWMI4nAjPjBsW', '6EErJIzXBBSWY7MkH3OaYY']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,223030,0kZMzrMqhdqbkpS76H4IWa,Menina,37,spotify:track:0kZMzrMqhdqbkpS76H4IWa,1LwvM5sLMX3w50dKitRzg1,"['49rYuhLNSc8WNdIw5CV0kT', '2fYAyTS2erZgqEHKHYqgi2', '7Lmrb6KcIzfkmgbtokjsAL', '4mZqYlVhIZJnJtbF39kDjj', '6r9jXjPwsd3OP4aCSfYRhW', '5cc7XCY3YdVmFDYw9LklMq', '0nzfP49X2nrzmmkwZf180L']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,99692,391W14a84cUzNFL2lOwvzZ,Toma Cuidado pra Não Se Apegar,33,spotify:track:391W14a84cUzNFL2lOwvzZ,6tWDy3FS2naau5PI4FnRey,"['0xXEI1dXDaCOmkIPNYtPWF', '4cdmVPqOs2GXPoP4qJHJXv', '6IcnhoOZCRfWT8viBrredL']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,134500,0AgluK6lXqHzjgTLkXMjlg,Língua dos Anjos,37,spotify:track:0AgluK6lXqHzjgTLkXMjlg,4o1zqfzFJCsgIstBtZXlx3,['4wh03gpwWgB5koOyZr8XxB']
